Date,Oprice,MaxPrice,MinPrice,CPrice
20091210,3579.826,3601.289,3544.901,3577.237
20091211,3589.408,3614.952,3568.506,3575.02
20091214,3572.531,3623.273,3495.639,3612.753
20091215,3594.51,3620.322,3578.283,3583.341
20091216,3568.28,3610.685,3550.667,3560.723
20091217,3571.052,3582.439,3475.844,3480.153
20091218,3450.045,3453.348,3385.675,3391.735
20091221,3386.326,3404.642,3354.652,3396.622
20091222,3402.228,3404.754,3296.765,3305.543
20091223,3303.729,3342.988,3296.292,3336.48
20091224,3346.763,3445.704,3339.298,3438.817
20091225,3434.326,3441.956,3410.667,3424.783
20091228,3432.82,3489.574,3432.82,3478.433
20091229,3481.903,3501.247,3451.177,3500.737
20091230,3503.816,3561.436,3498.377,3558.857
20091231,3561.367,3579.518,3542.38,3575.684
20100104,3592.468,3597.748,3535.229,3535.229
20100105,3545.186,3577.526,3497.661,3564.038
20100106,3558.7,3588.832,3541.173,3541.727
20100107,3543.16,3558.556,3452.769,3471.456
20100108,3456.908,3482.083,3426.698,3480.13
20100111,3593.106,3594.528,3465.317,3482.052
20100112,3477.842,3535.407,3437.661,3534.916
20100113,3448.291,3490.112,3415.693,3421.144
20100114,3433.472,3470.323,3411.812,3469.051
20100115,3472.524,3500.072,3448.661,3482.738
20100118,3471.777,3501.26,3458.042,3500.684
20100119,3506.806,3528.39,3497.094,3507.482
20100120,3512.246,3515.449,3387.818,3394.434
20100121,3397.043,3425.18,3364.723,3408.574
20100122,3364.452,3390.796,3293.194,3366.197
20100125,3340.013,3372.426,3326.266,3328.014
20100126,3328.113,3341.198,3222.14,3242.797
20100127,3243.038,3255.116,3183.365,3198.566
20100128,3195.289,3220.306,3168.463,3206.57
20100129,3190.315,3249.455,3176.916,3204.155
20100201,3198.23,3198.311,3116.439,3152.707
20100202,3170.778,3211.941,3143.085,3146.189
20100203,3160.712,3231.102,3094.568,3230.715
20100204,3206.431,3242.519,3190.437,3218.802
20100205,3147.721,3177.42,3129.921,3153.087
20100208,3152.253,3172.306,3133.808,3150.988
20100209,3147.761,3178.947,3144.478,3169.19
20100210,3195.142,3214.456,3182.834,3214.13
20100211,3216.688,3238.349,3207.165,3220.398
20100212,3232.879,3253.196,3228.738,3251.278
20100222,3248.947,3261.949,3232.784,3233.345
20100223,3225.393,3225.393,3152.934,3198.634
20100224,3177.082,3244.816,3165.133,3244.483
20100225,3252.153,3294.144,3249.329,3292.128
20100226,3286.095,3301.149,3273.693,3281.666
20100301,3290.007,3330.378,3287.556,3324.423
20100302,3327.103,3339.894,3299.685,3311.236
20100303,3313.023,3335.654,3293.916,3335.081
20100304,3338.674,3345.909,3244.978,3250.573
20100305,3253.164,3276.403,3239.677,3259.764
20100308,3268.397,3293.93,3258.034,3286.178
20100309,3285.62,3322.506,3255.982,3305.863
20100310,3304.036,3321.081,3267.761,3279.694
20100311,3282.199,3303.488,3251.704,3276.705
20100312,3277.309,3284.263,3232.117,3233.126
20100315,3231.216,3234.821,3171.803,3183.183
20100316,3183.775,3204.289,3169.098,3203.971
20100317,3214.216,3273.998,3207.271,3273.916
20100318,3277.883,3295.368,3256.593,3267.555
20100319,3270.978,3296.411,3251.136,3293.871
20100322,3297.824,3313.922,3288.506,3302.628
20100323,3305.554,3309.12,3272.921,3275.573
20100324,3282.052,3298.543,3271.033,3276.669
20100325,3270.39,3270.39,3222.821,3229.128
20100326,3226.8,3285.388,3220.594,3275.002
20100329,3295.763,3363.605,3293.671,3358.54
20100330,3361.353,3372.265,3350.313,3366.708
20100331,3369.193,3369.901,3338.745,3345.607
20100401,3349.884,3392.481,3349.884,3391.935
20100402,3400.139,3412.2,3391.806,3407.346
20100406,3422.849,3436.29,3386.888,3405.145
20100407,3403.088,3404.582,3369.017,3386.949
20100408,3381.306,3381.306,3336.156,3346.744
20100409,3348.773,3379.398,3342.471,3379.17
20100412,3388.355,3393.557,3330.3,3351.478
20100413,3350.726,3401.707,3324.048,3391.716
20100414,3394.635,3404.516,3377.437,3403.707
20100415,3407.025,3412.937,3365.881,3394.574
20100416,3388.286,3388.286,3348.781,3356.332
20100419,3313.499,3313.499,3175.441,3176.423
20100420,3176.414,3196.646,3130.96,3173.374
20100421,3178.877,3237.537,3164.765,3236.679
20100422,3222.68,3231.985,3177.726,3201.541
20100423,3198.784,3224.739,3172.578,3190.003
20100426,3195.457,3207.715,3168.374,3171.997
20100427,3163.101,3163.101,3060.854,3108.409
20100428,3080.324,3122.115,3062.085,3097.353
20100429,3114.941,3130.696,3059.796,3060.064
20100430,3060.12,3068.127,3014.069,3067.365
20100504,3005.487,3056.082,2994.921,3019.449
20100505,2981.777,3036.865,2943.361,3036.394
20100506,3014.907,3014.907,2895.392,2896.856
20100507,2835.879,2892.533,2817.153,2836.789
20100510,2842.366,2872.314,2798.523,2858.233
20100511,2916.335,2922.125,2790.701,2800.817
20100512,2781.708,2832.147,2756.422,2818.16
20100513,2818.578,2886.972,2811.661,2886.911
